sessionId,runIndex,versionName,status,stopSource,stopReason,startedAt,endedAt,durationMs,runTimerWhiteAt,firstSalmonSpawnAt,secondSalmonSpawnAt,thirdSalmonSpawnAt,runEndDetectedAt,pouchesDetected,pouchesDetectedCount,runecraftLevel,colossalCapacity,greatGuardianVerified,greatGuardianClicks,altarLoopsConfirmed,estimatedRunesConfirmedLower,estimatedRunesConfirmedUpper,estimatedRunesPendingLower,estimatedRunesPendingUpper,salmonPortalClicks,salmonPortalConfirmations,chargedCellAttempts,chargedCellVerified,workbenchClicks,workbenchFallbackCount,workbenchTotalMs,salmonMiningTotalMs,altarTotalMs,redPortalSearches,redPortalMisses,redPortalTotalMs,activeRuneChanges,activeRuneTimerAvgMs,guardianTimerRefusals,guardianNoTargetScans,cameraRotateCount,objectMissCounts,altarEnterAt,altarExitAt,altarClickAt,workbenchStartAt,workbenchEndAt,salmonMiningStartAt,salmonMiningEndAt,greatGuardianClickAt,greatGuardianConfirmedAt,chargedCellClickAt,chargedCellConfirmedAt,runeDepositClickAt,runeDepositConfirmedAt
20260508-133523,1,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T17:35:23.643Z,2026-05-08T17:41:54.275Z,390632,null,2026-05-08T17:40:12.000Z,null,null,null,small|medium|large|giant,4,null,null,3,3,0,0,0,0,0,2,1,3,3,8,0,46275,4000,30000,3,1,3400,13,19900,0,0,4,altar:5|redPortal:1|salmonPortal:3,2026-05-08T17:41:02.000Z,2026-05-08T17:41:32.000Z,2026-05-08T17:37:58.000Z|2026-05-08T17:38:06.000Z|2026-05-08T17:38:09.000Z|2026-05-08T17:39:23.000Z|2026-05-08T17:39:29.000Z|2026-05-08T17:39:32.000Z|2026-05-08T17:41:08.000Z|2026-05-08T17:41:17.000Z|2026-05-08T17:41:20.000Z,2026-05-08T17:36:50.000Z|2026-05-08T17:38:41.000Z|2026-05-08T17:40:01.000Z|2026-05-08T17:41:53.000Z,2026-05-08T17:37:10.000Z|2026-05-08T17:38:55.000Z|2026-05-08T17:40:12.000Z|null,2026-05-08T17:40:29.000Z,2026-05-08T17:40:33.000Z,2026-05-08T17:38:18.000Z|2026-05-08T17:39:40.000Z|2026-05-08T17:41:32.000Z,2026-05-08T17:38:25.000Z|2026-05-08T17:39:46.000Z|2026-05-08T17:41:38.000Z,2026-05-08T17:38:25.000Z|2026-05-08T17:39:46.000Z|2026-05-08T17:41:38.000Z,2026-05-08T17:38:30.000Z|2026-05-08T17:39:50.000Z|2026-05-08T17:41:42.000Z,2026-05-08T17:38:33.000Z|2026-05-08T17:39:53.000Z|2026-05-08T17:41:45.000Z,2026-05-08T17:38:40.000Z|2026-05-08T17:40:00.000Z|2026-05-08T17:41:53.000Z
20260508-134401,1,optimized-mining-workbench-travel-time,clean_complete,bot,gotr-round-restart,2026-05-08T17:44:01.051Z,2026-05-08T17:53:39.860Z,578809,2026-05-08T17:45:03.000Z,2026-05-08T17:50:00.000Z,2026-05-08T17:52:18.000Z,null,2026-05-08T17:53:39.000Z,small|medium|large|giant,4,null,null,4,5,0,0,0,0,0,2,2,4,4,11,3,246000,19000,32000,4,3,6200,20,19800,0,4,7,altar:5|guardian:4|redPortal:3|salmonPortal:1,2026-05-08T17:49:28.000Z,2026-05-08T17:50:00.000Z,2026-05-08T17:47:37.000Z|2026-05-08T17:47:45.000Z|2026-05-08T17:47:49.000Z|2026-05-08T17:49:36.000Z|2026-05-08T17:49:45.000Z|2026-05-08T17:49:49.000Z|2026-05-08T17:51:16.000Z|2026-05-08T17:51:24.000Z|2026-05-08T17:51:28.000Z|2026-05-08T17:51:31.000Z|2026-05-08T17:52:59.000Z|2026-05-08T17:53:07.000Z|2026-05-08T17:53:10.000Z|2026-05-08T17:53:14.000Z,2026-05-08T17:46:34.000Z|2026-05-08T17:46:59.000Z|2026-05-08T17:48:26.000Z|2026-05-08T17:48:46.000Z|2026-05-08T17:49:03.000Z,2026-05-08T17:46:53.000Z|2026-05-08T17:47:10.000Z|2026-05-08T17:48:40.000Z|2026-05-08T17:48:57.000Z|2026-05-08T17:52:14.000Z,2026-05-08T17:50:09.000Z|2026-05-08T17:52:28.000Z,2026-05-08T17:50:19.000Z|2026-05-08T17:52:37.000Z,2026-05-08T17:48:03.000Z|2026-05-08T17:50:50.000Z|2026-05-08T17:50:56.000Z|2026-05-08T17:51:41.000Z|2026-05-08T17:53:24.000Z,2026-05-08T17:48:08.000Z|2026-05-08T17:51:00.000Z|2026-05-08T17:51:47.000Z|2026-05-08T17:53:28.000Z,2026-05-08T17:48:08.000Z|2026-05-08T17:51:01.000Z|2026-05-08T17:51:47.000Z|2026-05-08T17:53:28.000Z,2026-05-08T17:48:14.000Z|2026-05-08T17:51:05.000Z|2026-05-08T17:51:51.000Z|2026-05-08T17:53:31.000Z,2026-05-08T17:48:17.000Z|2026-05-08T17:51:54.000Z|2026-05-08T17:53:33.000Z,2026-05-08T17:48:25.000Z|2026-05-08T17:52:00.000Z|2026-05-08T17:53:39.000Z
20260508-135339,2,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T17:53:39.868Z,2026-05-08T17:53:44.494Z,4626,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,null,null,0,0,0,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20260508-135451,1,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T17:54:51.806Z,2026-05-08T17:56:52.417Z,120611,null,null,null,null,null,small|medium|large|giant,4,null,null,0,0,0,0,0,0,0,0,0,0,0,3,0,30417,null,null,0,0,0,null,null,0,0,0,null,null,null,null,2026-05-08T17:56:18.000Z|2026-05-08T17:56:41.000Z|2026-05-08T17:56:46.000Z,2026-05-08T17:56:38.000Z|2026-05-08T17:56:45.000Z|null,null,null,null,null,null,null,null,null
20260508-140448,1,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T18:04:48.703Z,2026-05-08T18:05:06.139Z,17436,null,null,null,null,null,small|medium|large|giant,4,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,null,null,0,0,2,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20260508-140515,1,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T18:05:15.294Z,2026-05-08T18:12:01.502Z,406208,null,2026-05-08T18:07:21.000Z,2026-05-08T18:09:43.000Z,null,null,small|medium|large|giant,4,null,null,4,4,4,82,86,0,0,3,2,4,4,11,8,218000,13000,null,4,2,5300,15,19800,0,2,5,guardian:2|redPortal:2|salmonPortal:4,null,null,2026-05-08T18:07:05.000Z|2026-05-08T18:07:10.000Z|2026-05-08T18:07:13.000Z|2026-05-08T18:08:34.000Z|2026-05-08T18:08:42.000Z|2026-05-08T18:08:46.000Z|2026-05-08T18:08:49.000Z|2026-05-08T18:10:14.000Z|2026-05-08T18:10:21.000Z|2026-05-08T18:10:25.000Z|2026-05-08T18:11:21.000Z,2026-05-08T18:06:18.000Z|2026-05-08T18:06:39.000Z|2026-05-08T18:06:51.000Z|2026-05-08T18:09:33.000Z|2026-05-08T18:11:01.000Z|2026-05-08T18:11:14.000Z|2026-05-08T18:11:51.000Z|2026-05-08T18:11:55.000Z,2026-05-08T18:06:37.000Z|2026-05-08T18:06:50.000Z|2026-05-08T18:09:32.000Z|2026-05-08T18:09:43.000Z|2026-05-08T18:11:11.000Z|2026-05-08T18:11:16.000Z|2026-05-08T18:11:54.000Z|2026-05-08T18:11:57.000Z,2026-05-08T18:07:39.000Z|2026-05-08T18:09:52.000Z,2026-05-08T18:07:48.000Z|2026-05-08T18:09:56.000Z,2026-05-08T18:08:14.000Z|2026-05-08T18:08:58.000Z|2026-05-08T18:10:38.000Z|2026-05-08T18:11:31.000Z,2026-05-08T18:08:18.000Z|2026-05-08T18:09:04.000Z|2026-05-08T18:10:43.000Z|2026-05-08T18:11:37.000Z,2026-05-08T18:08:18.000Z|2026-05-08T18:09:04.000Z|2026-05-08T18:10:44.000Z|2026-05-08T18:11:37.000Z,2026-05-08T18:08:23.000Z|2026-05-08T18:09:08.000Z|2026-05-08T18:10:48.000Z|2026-05-08T18:11:41.000Z,2026-05-08T18:09:12.000Z|2026-05-08T18:10:53.000Z|2026-05-08T18:11:44.000Z,2026-05-08T18:09:18.000Z|2026-05-08T18:11:01.000Z|2026-05-08T18:11:51.000Z
20260508-142333,1,optimized-mining-workbench-travel-time,stopped_bot,bot,bot-stopped,2026-05-08T18:23:33.145Z,2026-05-08T18:32:23.796Z,530651,2026-05-08T18:24:19.000Z,2026-05-08T18:27:23.000Z,2026-05-08T18:29:21.000Z,2026-05-08T18:31:42.000Z,null,small|medium|large|giant,4,null,null,3,3,3,81,84,27,28,2,2,3,3,8,0,340000,16000,51000,3,2,4900,19,19800,0,1,6,altar:15|chargedCellDeposit:1|guardian:1|redPortal:2|runeDeposit:2|salmonPortal:4|workbench:1,2026-05-08T18:26:57.000Z|2026-05-08T18:30:25.000Z,2026-05-08T18:27:23.000Z|2026-05-08T18:30:50.000Z,2026-05-08T18:27:00.000Z|2026-05-08T18:27:07.000Z|2026-05-08T18:27:11.000Z|2026-05-08T18:28:33.000Z|2026-05-08T18:28:40.000Z|2026-05-08T18:28:44.000Z|2026-05-08T18:30:31.000Z|2026-05-08T18:30:38.000Z|2026-05-08T18:30:42.000Z|2026-05-08T18:32:10.000Z|2026-05-08T18:32:17.000Z,2026-05-08T18:25:53.000Z|2026-05-08T18:26:13.000Z|2026-05-08T18:26:25.000Z|2026-05-08T18:28:06.000Z|2026-05-08T18:28:19.000Z|2026-05-08T18:31:31.000Z,2026-05-08T18:26:10.000Z|2026-05-08T18:26:24.000Z|2026-05-08T18:28:04.000Z|2026-05-08T18:28:18.000Z|2026-05-08T18:31:29.000Z|2026-05-08T18:31:42.000Z,2026-05-08T18:29:38.000Z|2026-05-08T18:31:48.000Z,2026-05-08T18:29:50.000Z|2026-05-08T18:31:52.000Z,2026-05-08T18:27:27.000Z|2026-05-08T18:28:57.000Z|2026-05-08T18:30:51.000Z,2026-05-08T18:27:33.000Z|2026-05-08T18:29:04.000Z|2026-05-08T18:30:56.000Z,2026-05-08T18:27:33.000Z|2026-05-08T18:29:04.000Z|2026-05-08T18:30:57.000Z,2026-05-08T18:27:37.000Z|2026-05-08T18:29:14.000Z|2026-05-08T18:31:02.000Z,2026-05-08T18:27:41.000Z|2026-05-08T18:29:16.000Z|2026-05-08T18:31:05.000Z,2026-05-08T18:27:49.000Z
20260508-143404,1,optimized-mining-workbench-travel-time,clean_complete,bot,gotr-round-restart,2026-05-08T18:34:04.552Z,2026-05-08T18:42:28.868Z,504316,null,2026-05-08T18:36:39.000Z,2026-05-08T18:38:59.000Z,2026-05-08T18:41:18.000Z,2026-05-08T18:42:28.000Z,small|medium|large|giant,4,null,null,4,4,4,103,107,0,0,2,2,4,4,12,4,303000,14000,48000,4,0,2400,19,19800,0,0,8,altar:3|salmonPortal:8,2026-05-08T18:37:44.000Z|2026-05-08T18:40:00.000Z,2026-05-08T18:38:12.000Z|2026-05-08T18:40:20.000Z,2026-05-08T18:36:23.000Z|2026-05-08T18:36:28.000Z|2026-05-08T18:36:32.000Z|2026-05-08T18:37:44.000Z|2026-05-08T18:37:52.000Z|2026-05-08T18:37:56.000Z|2026-05-08T18:37:59.000Z|2026-05-08T18:40:01.000Z|2026-05-08T18:40:10.000Z|2026-05-08T18:41:54.000Z|2026-05-08T18:41:59.000Z|2026-05-08T18:42:02.000Z,2026-05-08T18:35:34.000Z|2026-05-08T18:35:43.000Z|2026-05-08T18:35:56.000Z|2026-05-08T18:36:08.000Z|2026-05-08T18:38:51.000Z|2026-05-08T18:39:29.000Z|2026-05-08T18:40:56.000Z|2026-05-08T18:41:09.000Z|2026-05-08T18:41:14.000Z,2026-05-08T18:35:42.000Z|2026-05-08T18:35:54.000Z|2026-05-08T18:36:07.000Z|2026-05-08T18:38:49.000Z|2026-05-08T18:38:59.000Z|2026-05-08T18:40:55.000Z|2026-05-08T18:41:08.000Z|2026-05-08T18:41:13.000Z|2026-05-08T18:41:16.000Z,2026-05-08T18:36:50.000Z|2026-05-08T18:41:26.000Z,2026-05-08T18:37:00.000Z|2026-05-08T18:41:30.000Z,2026-05-08T18:37:24.000Z|2026-05-08T18:38:13.000Z|2026-05-08T18:40:21.000Z|2026-05-08T18:42:10.000Z,2026-05-08T18:37:30.000Z|2026-05-08T18:38:19.000Z|2026-05-08T18:40:27.000Z|2026-05-08T18:42:15.000Z,2026-05-08T18:37:30.000Z|2026-05-08T18:38:19.000Z|2026-05-08T18:40:27.000Z|2026-05-08T18:42:16.000Z,2026-05-08T18:37:32.000Z|2026-05-08T18:38:25.000Z|2026-05-08T18:40:31.000Z|2026-05-08T18:42:20.000Z,2026-05-08T18:38:28.000Z|2026-05-08T18:40:34.000Z|2026-05-08T18:42:22.000Z,2026-05-08T18:38:35.000Z|2026-05-08T18:40:41.000Z|2026-05-08T18:42:28.000Z
20260508-144228,2,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T18:42:28.871Z,2026-05-08T18:43:01.857Z,32986,null,null,null,null,null,null,null,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,null,null,0,0,1,null,null,null,null,null,null,null,null,null,null,null,null,null,null
20260508-144430,1,optimized-mining-workbench-travel-time,stopped_f4,f4,bot-stopped,2026-05-08T18:44:30.741Z,2026-05-08T18:45:50.786Z,80045,null,null,null,null,null,small|medium|large|giant,4,null,null,0,0,0,0,0,0,0,0,0,0,0,0,0,null,null,null,0,0,0,null,null,0,0,0,workbench:6,null,null,null,null,null,null,null,null,null,null,null,null,null
